Page,URL,Rect,Context
1,https://busquedas.elperuano.pe/dispositivo/NL/2387420-1,"(211.80999755859375, 164.989990234375, 356.94000244140625, 177.6400146484375)","Martín y Ucayali, por impacto de daños iales. (El Peruano, Normas Legales)"
1,https://busquedas.elperuano.pe/dispositivo/NL/2387152-1,"(196.52999877929688, 215.59002685546875, 341.6600036621094, 228.239990234375)","la Unidad de Planeamiento y Presupues bano. (El Peruano, Normas Legales)"
1,https://www.facebook.com/share/v/1DcxCCbdeK/,"(192.25, 342.0799865722656, 290.9100036621094, 354.7300109863281)","ximadamente, 1200 usuarios del ados. (Radio del Progreso, Riber"
1,https://www.facebook.com/share/v/1ACHnPBnYN/,"(292.5299987792969, 342.0799865722656, 404.0299987792969, 354.7300109863281)","usuarios del servicio de agua potab greso, Ribereña Pucallpa TV)"
1,https://www.facebook.com/share/p/191AbQh5Bi/,"(408.70001220703125, 417.9700012207031, 482.9100036621094, 430.6199951171875)",oncurso Escolar Nacional Go sable. (Decana Radio)
1,https://www.gob.pe/institucion/vivienda/noticias/1139793-mvcs-reafirma-su-compromiso-para-garantizar-el-acceso-a-servicios-de-agua-potable-y-saneamiento-de-calidad-en-espinar,"(329.2200012207031, 506.510009765625, 375.9100036621094, 519.1600341796875)",rifa es definida por la EPS. (Vivienda)
1,https://andina.pe/agencia/noticia-atencion-universitarios-sunass-organiza-datathon-para-estudiantes-ciencia-datos-1024770.aspx,"(279.04998779296875, 595.0499877929688, 317.80999755859375, 607.7000122070312)","olla este certamen UPC). (Andina, Andin"
1,https://x.com/Agencia_Andina/status/1907961336383803557?t=_q7Q9HKjYIE7aWmktrnSoQ&s=08,"(319.4200134277344, 595.0499877929688, 368.55999755859375, 607.7000122070312)","e certamen en colabor ndina, Andina X, AP No"
1,https://www.apnoticias.pe/peru/andina/atencion-universitarios-sunass-organiza-datathon-para-estudiantes-de-ciencia-de-datos-1413672,"(370.17999267578125, 595.0499877929688, 431.5299987792969, 607.7000122070312)","n en colaboración con la dina X, AP Noticias)"
1,https://www.youtube.com/watch?v=KV3G_sBQmjk,"(420.55999755859375, 696.2459716796875, 508.8299865722656, 708.89501953125)","ebiendo agua ""contaminada iresa. (Exitosa YouTube)"
2,https://radioondaazul.com/vecinos-de-el-mirador-los-angeles-exigen-soluciones-urgentes-para-agua-y-electricidad/,"(156.77000427246094, 139.69000244140625, 212.6300048828125, 152.34002685546875)","nto de la urbanización, lo cidad. (Onda Azul)"
2,https://ladecana.pe/vecinos-de-villa-medica-protestan-contra-seda-juliaca-por-cobros-excesivos-y-mal-servicio/,"(444.80999755859375, 202.94000244140625, 502.510009765625, 215.59002685546875)",gnación por los cobros ciben. (La Decana)
2,https://www.gob.pe/institucion/contraloria/noticias/1139604-obra-vial-y-de-alcantarillado-en-barrio-santa-rosa-en-riesgo-por-falta-de-supervision,"(132.32000732421875, 304.1300048828125, 191.24000549316406, 316.7799987792969)",aración que se vienen erías. (Contraloría)
2,https://www.facebook.com/watch/?v=1400853111268054&rdid=gfkH2ytFs7rpkeBH,"(230.75, 354.7300109863281, 314.7300109863281, 367.3699951171875)",las líneas de tubería de agua q FRE. (Pisco te Informa)
2,https://www.facebook.com/61568374274923/videos/498562966520823,"(263.1700134277344, 430.6199951171875, 325.7699890136719, 443.2699890136719)",sentaron reclamos al pre uesta. (Chinchanito)
2,https://radiouno.pe/noticias/236611/trabajador-de-eps-cae-en-buzon-de-desague/,"(86.46299743652344, 569.760009765625, 111.13999938964844, 582.4100341796875)",Prestadora (Uno)
2,https://www.facebook.com/share/v/15T743rj7N/,"(243.0, 645.6500244140625, 317.20001220703125, 658.2999877929688)",ro nunca llegaron. El hecho ueva. (Exitosa Tacna)
3,https://noticiaspiura30.pe/eps-grau-suspende-servicio-de-agua-por-limpieza-en-sistema-de-drenaje/,"(385.4800109863281, 76.45001220703125, 420.5400085449219, 89.0999755859375)","4 de abril, durante la corza. (Walac)"
3,https://macronorte.pe/2025/04/03/sedalib-no-entrega-informacion-financiera-a-la-mpt-pese-a-constantes-pedidos/,"(384.260009765625, 152.34002685546875, 444.3999938964844, 164.989990234375)",no la han remitido lo que 2024. (Macronorte)
3,https://macronorte.pe/2025/04/02/pescadores-artesanales-de-huanchaco-preparan-protesta-por-arrojo-de-desague-al-mar/,"(400.1499938964844, 253.530029296875, 460.2799987792969, 266.17999267578125)",a salido esto. Ninguna au sanal. (Macronorte)
3,https://diaadiatrujillo.pe/2025/04/03/conforman-mesa-de-dialogo-para-buscar-soluciones-al-desborde-de-aguas-residuales-en-la-ptar-el-tablazo/,"(86.46299743652344, 342.0799865722656, 172.8800048828125, 354.7300109863281)",del PTAR El Tablazo qu (Día a Día Trujillo)
3,https://www.gob.pe/institucion/vivienda/noticias/1137897-ministerio-de-vivienda-convoca-a-empresas-para-la-elaboracion-del-estudio-de-megaproyecto-de-agua-grandes-ciudades-de-chancay,"(86.46299743652344, 468.57000732421875, 133.16000366210938, 481.2099914550781)",alcantarillado pa (Vivienda)
3,https://andina.pe/agencia/noticia-andahuaylas-avanza-proyecto-para-mejorar-servicio-agua-potable-y-alcantarillado-1024668.aspx,"(252.14999389648438, 544.4600219726562, 290.8999938964844, 557.1099853515625)",un proyecto que se VCS. (Andina)
3,https://www.youtube.com/watch?v=1OMWADubyUc,"(153.6999969482422, 620.3499755859375, 225.47000122070312, 633.0)",ajo conjunto con los gobier drica. (P21 YouTube)
3,http://imacorpplataforma.com/wp-content/uploads/2025/04/EL-PERUANO-ECONOMIA-10-FONDO-SOCIAL-DE-CHANCAY-03-04-2025-scaled.jpg,"(467.6300048828125, 683.5999755859375, 526.1400146484375, 696.2459716796875)","arácter social para tuario (El Peruano,"
3,http://imacorpplataforma.com/wp-content/uploads/2025/04/GESTION-ECONOMIA-17-SE-CREA-EL-FONDO-PARA-EL-DESARROLLO-DE-CHANCAY-03-04-2025.jpg,"(82.80000305175781, 696.2459716796875, 125.20999908447266, 708.89501953125)",beneficiar a la Gestión)
4,http://imacorpplataforma.com/wp-content/uploads/2025/04/EL-PERUANO-ECONOMIA-11-FIJAN-INVERSIONES-POR-USS70000-MLLNS-03-04-2025-scaled.jpg,"(293.7099914550781, 152.34002685546875, 352.6400146484375, 164.989990234375)","educación, hidrocarburo tores. (El Peruano)"
4,http://imacorpplataforma.com/wp-content/uploads/2025/04/EXTRA-ACTUALIDAD-6-VECINOS-DE-MI-PERU-A-UN-PASO-DE-LA-TITULACION-03-04-2025.jpg,"(432.54998779296875, 215.59002685546875, 462.7300109863281, 228.239990234375)","e 150,000 familias. edios. (Extra)"
